Value,Model,Type,Metric,Set
0.552,NN,Mult,Acc,train
0.5096447728126435,NN,Mult,Prec,train
0.47542686325605477,NN,Mult,F1,train
0.5319047619047619,NN,Mult,Acc,test
0.4657480629966331,NN,Mult,Prec,test
0.44515252464559046,NN,Mult,F1,test
0.6668571428571428,RF,Bin,Acc,train
0.640656262505002,RF,Bin,Prec,train
0.6467380327206625,RF,Bin,F1,train
0.6466666666666666,RF,Bin,Acc,test
0.6070320579110652,RF,Bin,Prec,test
0.6127348643006263,RF,Bin,F1,test
0.4398095238095238,RF,Mult,Acc,train
0.38636689791092055,RF,Mult,Prec,train
0.3747797473545951,RF,Mult,F1,train
0.44904761904761903,RF,Mult,Acc,test
0.3841380041766877,RF,Mult,Prec,test
0.3792340742164757,RF,Mult,F1,test
0.668,LG,Bin,Acc,train
0.6591827570722946,LG,Bin,Prec,train
0.6274845052361616,LG,Bin,F1,train
0.6719047619047619,LG,Bin,Acc,test
0.6473922902494331,LG,Bin,Prec,test
0.6237028945931186,LG,Bin,F1,test
0.5459047619047619,LG,Mult,Acc,train
0.5007612541425348,LG,Mult,Prec,train
0.44174174294998086,LG,Mult,F1,train
0.5447619047619048,LG,Mult,Acc,test
0.4804930445399582,LG,Mult,Prec,test
0.43409057186805144,LG,Mult,F1,test
0.6977142857142857,XGB,Bin,Acc,train
0.6977594878829446,XGB,Bin,Prec,train
0.6579004095710282,XGB,Bin,F1,train
0.6638095238095238,XGB,Bin,Acc,test
0.6437869822485207,XGB,Bin,Prec,test
0.6064659977703456,XGB,Bin,F1,test